Review,Rating
"""Worst company I have ever worked for. They cut corners and break promises regularly. Benefits program is a joke. Openly talk politics regardless of any objections. Do yourself a favor and only take a position as a last resort or stepping stone if desperate.""",2.0
"""Extremely demanding and toxic work environment. The morale is at an all-time low since the company is closing stores left and right. The only good thing about this job is helping people with their health needs. This company can not keep employees on staff whatsoever. Managers and associates quit after they see the destruction that is this company.""",2.0
"""Listen, it was a good place to work at till this recent woman got hired now it's a nightmare she talks behind your back and the other lady that works there can do no wrong, and in the manager's eyes it's all high school drama""",2.0
"""STAY AWAY !!! A perfect example of Bad Top Leadership and Worse Middle Leadership

The company has no clue where it's going and what it wants to achieve. Everyone talks big but very hollow in knowledge. Extremely rudimentary in their approach.  You keep hearing the company is 100+ years old AND YET there is no culture in the company. 
They have tried a ton of things for it to work and nothing works.  
More like a company that's living on its past glory. 
Titles are similar to the banks where a developer is a VP and a team leads an SVP.  Global Analytics is the most toxic.  All in all a bad culture, toxic culture, and a depressing environment.""",1.0
"""Terrible management, terrible culture, policies, practices.

Experienced discrimination, forms of xenophobia and racism, harassment at workplace and virtually absence of the workplace, arbitrariness, lies, falsification and some other practices usually unacceptable in the professional environment. Some managers lie and support those outrageous practices.""",1.0
"""Not able to move up in the company. Lack of growth. Inconsistent work.""",1.5
"""They have nice speeches and quotes but little follow through on those ideas.""",2.0
"""Very bad experience. Rude unprofessional management, below the market pay, unpaid overtimes, no growth at all
Just waste of time""",1.0
"""Aerotek is a good temp job to get started with.""",2.0
"""Not very good""",2.0
"""I worked for Goodyear for almost 10 years.  The pay is great.  The biggest problem is honestly in management when comes to training.   Time and time again people are released to jobs before training is complete.   These same unqualified people are being held accountable to goals that have yet to reach and if not, the supervisor held accountable to their poor performance.   This is a toxic environment where blame is being pushed to the wrong people.""",2.0
"""I have worked fro HP for five years. I thought it was a terrible company, too big, no one knows who is doing what, they kept on cutting number of employees. Their investment was in wrong places. There is no direction.  A lot of dead weight. Incapable people are in power!""",1.5
"""It was an unprofessional environment.""",2.0
"""I worked for EA Sween for 3 years. It was a fun job at the beginning but due to reorganization, we had to eliminate many jobs.""",2.0
"""I worked for Charter for well over 9 years and upper management and local management believe that if they wanted you to have a family they would issue them to you. Management do not care about anything but money that is going within their pocket.   If any employee asks a question they do not think it is a part of the issue and stop starting things within the office!  Would not let anyone that I know be with or around this company.""",1.0
"""Need improvements and better communication amongst employees and managers, and better conditions and better advancement opportunities for long-time employees.""",2.0
"""Great people. However it is very gray, almost no creativity, dot the i's, cross the t's type of environment.""",2.0
"""BASF is a good company with great benefits. However, the location I work at is very small and run by the good ole boy club. This prevents new people from advancing or bringing new ideas in. There is no upward mobility unless you are a high school buddy or family.""",2.0
"""Very unorganized system of operations.""",2.0
"""Company is run by liars and hypocrites 

- This company is 100% profit-focused to the exclusion of all else, but they try to gaslight you into thinking they support employees. They don't! Stay far, far away from this company.""",1.0
"""I have been at Dollar General since May 2013. I have to say the manager there is very unappreciative of anything anyone does. It's all about him. We're lucky to get a break other than lunch. The paperwork he does about employee evaluations are fraudulent because he never monitors the employee like he says he does, he just writes something on the paper to make himself look good. Everything he reports to corporate is a lie. Even the way our store puts out freight isn't right but he tells them we do it.""",2.0
"""Company was great. Manager was new to the ecommerce arena and ineffective.""",2.0
"""Low pay boss is very outspoken has no filter. embarrasses you in front of others. She doesn't talk to you about employee benefits.Hours are basically set but work is hard. Cameras everywhere and computer monitors every input and marks can and will be used against you. This is a bad job expect way too much. corporate wants ROBOTs""",1.0
"""I am working as a developer in the ecom group.  This job has always been ""okay"", but the longer I work here the less unsatisfying this company seems to be.

There is little to no QA, every release is a fire drill, nothing is organized.  The infrastructure is dated, the policies right out of the 90's (the company has temporarily suspended its dress code).

Pay is below market, the benefits are pretty poor as well.  The university is the other big employer in Ann Arbor and you can make about the same yearly wage there, but have incredible benefits.

Work there if you need experience, otherwise avoid.""",2.0
"""don't waste your time working for this ""company"" the only good thing is you will drive nice cars but the rest it isn't worth it. They don't offer any benefits. No medical, no dental insurance, no 401k, no paid vacation. 
they don't even provide a Job ID. They might steal your hours as well. No clock-in machine just a time card 
very disappointed""",1.0
"""The only positive thing about working for Booz Allen is having the name on my resume.""",2.0
"""I like wireframing, sketching and designing. I also like the benefits & pay.""",2.0
"""I've worked for Home Depot for nearly 20 years in Oregon.  I've been through a lot of ups and downs with the company and we strive to take care of our hourly employees well.  District and sometimes regional management can be a bit too focused on turnover as a positive thing among the salaried ranks.  I've seen many Store Managers come and go and have been on the pressure end of having to let someone go even though you know it isn't the ""right"" thing to do.  I have a feeling that my time will be coming soon as well.  There are not too many people who make it to a retirement age at the salaried level unless you get into a support role outside of the store.""",2.0
"""The managers were the principals of a start-up acquired by D&amp;B. Except for the CEO, they were all very arrogant.""",2.0
"""Dress code enforced and closing required everyone to pitch in. A good place to gain early work experience.""",2.0
"""I worked for Dell multiple times over a span of years, It has it's ups and downs. There seems to have developed high school type clicks for promotion and influence. Good Money though.""",2.0
"""Dress code enforced and closing required everyone to pitch in. A good place to gain early work experience.""",2.0
"""I've been a contractor for over a year, very hard to get a Perm position""",2.0
"""i worked as a customer service rep  here.  the work place so cold you freeze to death.the dress code ....or lack there of omg its an office yet most wonen dressed way too provacative  no respect to workers with health conditions at all. training is questionable.  goals set are unrealistic  mandatory ot this place is a jail""",1.5
"""Salaries below the market, uneducated lazy management, bodyshop structure, toxic atmosphere. 
In general, that was a wrong choice""",1.0
"""Unsafe place to work. No protection for workers. People who donate do not wear masks. Truck drivers making deliveries do not wear masks. People who need help loading furniture to their cars do not wear masks. Employees and managers do not wear masks. Workers who complain about safety are punished and harassed.""",1.0
"""I worked for AIG since 1989. I love the company even after the 07 debacle.""",2.0
"""Be ready to work in a very negative atmosphere.""",2.0
"""The current business model appears to be working towards inversion by transferring their main office to a location in India. This is the only company I've ever worked for where they have outsourced management, sandwiching the US resources between layers of offshore resources but giving them no direct managerial control over the people working on the tasks that the US resource is ultimately responsible for.""",1.5
"""Managing my team; working with clients; being myself; learning about healthcare.""",2.0
"""It was a bad experience although I enjoyed meeting people from around the world.""",2.0
"""BASF is a good company with great benefits. However, the location I work at is very small and run by the good ole boy club. This prevents new people from advancing or bringing new ideas in. There is no upward mobility unless you are a high school buddy or family.""",2.0
"""GameStop is ok, but contractors park 2 blocks away and share workstations.""",2.0
"""I worked as a research assistant at Arizona State University and found the salary to be fair for the work I was doing. The benefits package was also good and provided a safety net for me. The environment was supportive and the resources available to me were ample. I had the opportunity to work on interesting and innovative research projects, and my colleagues were knowledgeable and helpful. Overall, I had a positive experience working as a research assistant at ASU.""",2.0
"""The management has questionable knowledge of what they are responsible for which results in bad decisions and inconsistent messages being sent to the employees.""",2.0
"""Not much""",2.0
"""The technical performances of the instruments produced. The good pay once you work.""",2.0
"""I gave a 1 star because negative wasn't possible. DG is more interested in opening new stores than caring about the ones already up and running. Outdated registers, coolers down for a month, couldn't get ice delivered (can't change ice company because DG wouldn't allow it).""",1.5
"""Great company to begin a career, Worst company for accomplished, educated individuals.""",2.0
""".....................................................""",1.5
"""Company is run by liars and hypocrites 

- This company is 100% profit-focused to the exclusion of all else, but they try to gaslight you into thinking they support employees. They don't! Stay far, far away from this company.""",1.0
"""Frustrating. Politics over engineering.""",2.0
"""Hated it""",1.5
"""Boeing is a typical large company. Managers are interested in themselves, not employees, and lie rather than telling the truth. They promote their pet employees and ignore everyone else.
They also lay off productive senior people to hire entry level people and charge their customers the same rate, which increases their profits.""",2.0
"""A lot of different work/needs, many mechanical work and improvement.""",2.0
"""Store management is vicious. She berates employees in front of customers and is overall rude. The store isn't staffed with anyone motivated by anything except avoiding being ridiculed publicly.""",2.0
"""I worked as a contractor for 7 months. This is a very unorganized company. There is a lot of unskilled full-time workers there who have a job no matter how bad they do. I guess thats why they hire so many contractors. There is a constant struggle for power between different departments, especially between national, divisional and regional employees. They pay well but with all the in-fighting, you can be praised for all your hard work one day and lose funding for your contract the next day.""",2.0
"""Worst mangers and worst leadership. They do not think of their employees. Low pay/ low bonus. Tons of work. NO WORK LIFE BALANCE. No motivation at work. You work like a slave. Your achievements are never given any importance.""",2.0
"""It's obvious and blatant nepotism that made employees not want to do their best. Even if upper management and the CEO deny it, no one believes them. Only having connections will get you the promotions and tha's the awful truth!""",2.0
"""Don’t work for this company they pay you less then what you’re worth.. Management sucks half of them need to take a training course on how to be a good leader.. I’m a former employee that unfortunately came back after being gone for 8yrs but I see now nothing has changed.. My manager now is rude disrespectful and a total ***bitch***!! Came in my first day first thing I see is my file with my personal information just laid out on desk so everyone can see, then you have to make your own badge, then your not apart of the group text messaging., what a way to make a person feel welcomed.. Dollar general needs to do better plus there are no safety measures at all none of the doors have locks on them if it’s a crime we have absolutely nowhere safe to go hide.. but yet they have cameras everywhere smh … ***fuck*** DG and everything it stands for….""",1.0
"""Brutal Work Hours and Insane Pace of Work Made People Feel Left Behind

- The management was terrible at keeping everyone together. They expected brutal and exhausting hours from employees and were often open about it. It was stressful to work for such arrogant people who never considered how an employee's work-life balance could be impacted.""",2.0
"""I worked for dollar tree for two years and helped put shelves in and put merchandise in the store.,at first I would come in on my days off and come in when other workers would call in sick and that happened quite frequently they try to put a quilt trip on you when you call in sick the place is very dirty and unorganized they tell us to tell the customers that the bathrooms are not working when they are they  make us lie to customer..after all that they dropped my hrs down to 13 hrs""",1.0
"""Punch in, answer at least 9 emails an hour, for 8 hours, punch out.""",2.0
"""The company continues to struggle to simplify systems and processes with trivial decisions pushed up higher and higher. Slow to terminate programs. Staff a mix of seasoned drug developers and inexperienced but senior roles - the latter unfortunately having the decision.""",2.0
"""Good company, great benefits and challenging at times, client list is impressive. I can honestly say that I don't know how and why 3/4 of the people, especially in India, have their jobs. Some positions appear to be put together ADHOC.""",2.0
"""By far, the best aspect about Cardinal Health (especially pre-Cardinal Health) was the employees and the talents they have. These workers believe in serving the customer and doing things right. They work hard and work together across departments and across the country to ensure they take care of the customers. The compensation was good at industry averages, but has been stifled since early 2000's, making income below average. The benefits are pretty good but continue to be cheapen as time goes on at Cardinal Health.""",2.0
"""My paycheck and matching 401K benefits. The ability to work remotely.""",2.0
"""Can't remember anything. It has been too long since there was anything good about the company.""",1.5
"""Overall it was not a pleasant experience""",2.0
"""I have worked for Fresenius Kabi for 8 months. In that time, I have found them to be a company driven by profit and profit alone. During the COVID pandemic, it took an entire month for Fresenius Kabi to set up temperature checks for employees or pay employees hazard pay. They also neglected to provide employees with proper face coverings during the COVID pandemic, instead choosing to provide them with see through bandanas to cover their face. I also find them to be lacking when it comes to keeping employees safe. My friend was hit by a car crossing the street (in the crosswalk) to get to her car in the parking lot, and the company did nothing to improve safety for employees who must on a regular basis cross this same street at all hours of the day and night to get to work. Management is not very good, and turnover is high which creates chronic problems with understaffing. Not to mention that their employees are grossly underpaid, compared to industry standards.""",2.0
"""No upward mobility in this environment.""",2.0
"""CVS Caremark has good client relationship development and customer service.""",2.0
"""Very unbalanced set of expectations vs. rules.Expectations were set by higher-ups to bend or break written rules to meet required numbers. Then those same higher-ups refused to stand behind their earlier words when they received complaints. Duplicitous at best.""",2.0
"""I've worked for two different departments for ADP and I've enjoyed my time developing my professional career as they expose you to a lot of various technologies. They're a professional environment and great to spend 1~2 years to get some work done and build your experience. They've been around for 60+ years and have trouble moving towards the modernization of technology and developing beyond their specialization in human resources. Stay for a good time, not a long time.""",2.0
"""Many people who work there are great and the front line personnel are fantastic and hard working.""",2.0
"""I have a job! Not the best of my career but it is a job.""",2.0
"""Not able to move up in the company. Lack of growth. Inconsistent work.""",1.5
"""STAY AWAY !!! A perfect example of Bad Top Leadership and Worse Middle Leadership

The company has no clue where it's going and what it wants to achieve. Everyone talks big but very hollow in knowledge. Extremely rudimentary in their approach.  You keep hearing the company is 100+ years old AND YET there is no culture in the company. 
They have tried a ton of things for it to work and nothing works.  
More like a company that's living on its past glory. 
Titles are similar to the banks where a developer is a VP and a team leads an SVP.  Global Analytics is the most toxic.  All in all a bad culture, toxic culture, and a depressing environment.""",1.0
"""This is perhaps the most unethical company that exists in corporate America and promotes a climate of fear and toxicity that negatively impacts sales associates and non management employees. There are zero protections afforded to employees and since this an at will company you can be terminated without cause. Even worse, management will not inform you of any complaints or issues that pertain to you and will summarily terminate you without ever providing an opportunity to correct said issues.
 
BEWARE - STAY AWAY -

 YOU'VE BEEN WARNED!!""",1.0
"""I really liked American Red Cross's mission and values. It can be rewarding knowing that you are directly or indirectly helping someone in need.""",2.0
"""Been working for the company for around 5 years. Always preaches about how important safety is, but ignores employees when safety issues are brought up until someone is hurt. Management seems very unethical and will say and do just about anything to get their way.""",2.0
"""AOL is ok to work for. I wouldn't advise to work for Patch.""",2.0
"""The American Red Cross is a non-profit organization attempting to run off a corporate structure. It isn't working very well to say the least. The workload is excessive as they do not have the money to hire adequate staff, yet there is a staggering lack of incentives for people to perform this stressful job. Management and upper management is compensated well, Lead tech's and especially tech II's who perform the bulk of the work are not. Cleveland for example pays lead technicians $15 hr.""",1.0
"""Not able to move up in the company. Lack of growth. Inconsistent work.""",1.5
"""AMD is a top-down company......only Directors and above make any decisions, even people managers need Dir or above approval for virtually anything. No support from management or HR, really an adversarial relationship with them. Massively understaffed and overworked, no appreciation, no recognition, not even any awareness from above.....""",2.0
"""I made some really good friends and the dress code was casual.""",2.0
"""Old tools and equipment, old managers stuck in their ways, long hours, limitless fire-fighting, no real commitment to actually resolving long-term issues.  Previous companies have been bought and sold this company, off-shored production lines, and drained profits for years.  There's not much left worth fighting for.""",2.0
"""Davita/Lifeline is the absolute worst place to work,  Managers have little or no experience or knowledge of the medical field.  All that matters is encounter numbers.  Annual bonuses were promised, but never forthcoming. Benefits are terrible, annual raises are a joke.CEO has a monthly salary in excess of 1 million dollars. Do yourself a favor, if you are considering working for Davita/Lifeline, seek employment elsewhere.""",1.0
"""Very poor experience. No acknowledgement of employees as people.""",1.5
"""The speed of Dell is the detriment to the company.""",2.0
"""This a terrible place to work at or for.""",2.0
"""Performance doesn't mean anything unless you kiss the right butts.""",1.0
"""It was a bad experience for a woman in a male dominated culture.""",1.5
"""Dress code enforced and closing required everyone to pitch in. A good place to gain early work experience.""",2.0
"""Lacking work Ethics & Integrity, Allows severe Abuse by Customers,Criminals and Upper Management, Company Profit over Employees Safety, Very poor employees & working conditions, lots theft within Mngmnt ignores Safety,Stealing is acceptable if anything encourage theft by Mngmnt in return for profits.""",2.0
"""I've been working here for almost 5 years. It's a typical defense company. Nobody does anything, but they get paid big bucks. There is no drive to make any defense solutions better and more efficient. This is a good place to work if you like an environment where you're not expected to do anything and at the same time get rewarded for it.""",2.0
"""I Worked at Dillard’s in 2018/2019 and went back recently from 2020-2021 highly DO NOT RECOMMEND. Management is not professional what so ever and there is no HR in charge. Lots of harassments and I was a top performer. Always made top 3 in sales and will harass and bully you. Please spare your time and effort In even trying to be professional because they will not EVER be professional towards you or help you grow within the company. Management is always stressed out and rude and never knows how to even talk to upset customers. They constantly dismiss customers issues and ARE NOT SANITARY. Every dressing room has been soiled and will never be cleaned after customers have accidents in there, always mold, and food from weeks old at registers. Please don’t work for this company they will mistreat you and don’t even go through proper training with you on how to help customers!!! The management is highly inappropriate and engaging in super inappropriate behaviors with certain associates.""",1.0
"""Sad how just one individual at the top can ruin many careers.""",2.0
"""The flight benefits are nice. The working from home is also nice.""",2.0
"""The company's lack of a robust recognition and rewards system was nothing short of demoralizing. The founder's controlling nature and inflexible approach to management only exacerbated the problem, creating an oppressive atmosphere where innovative ideas were stifled, and individuality was frowned upon. The absence of a proper rewards system made it incredibly challenging to retain top talent, as skilled employees, like myself, were driven away by the foul environment and the feeling of being constantly overlooked and unacknowledged.""",1.0
"""Do not like anything out here. Want to move out at the earliest.""",1.0
"""I have worked for EB for 3 years.  I have nothing good to say about the company offering a good working experience.  They lack in an ability to offer engineers anything to do but paper work.  If you are interested in gaining transferable skills and progressing your career, look some place else.""",2.0
"""Very bad experience. Rude unprofessional management, below the market pay, unpaid overtimes, no growth at all
Just waste of time""",1.0
"""This company and the call center positions have to be just about the worse job I’ve ever encountered in 30 plus years working. First off: the call rep fields irate merchant calls re: the deceptive practices of Bank of America. We are identifying ourselves as Bank of America employees when in fact we are strictly First Data employees. The training is extremely lacking for the scope of tasks you are expected to perform during a call. They are constantly adding more and more tasks for you to perform for the caller, taking away from other departments and adding to the call center all under the guise of “keeping transfers down during the call.” The merchant statements are deliberately deceptive with terrible selling points by their Business Consultants, who most times, are never heard from again by the merchant despite repeated calls to Bank of America. Also, First Data has ridiculous standards and procedures (quality and time focused) for their call reps to follow in order to remain “compliant” to keep your low paying job. EVERY second during your 8 hr shift is micro managed. You are pretty much expected to not be off your phone at all except for 2 short breaks and one unpaid 1/2 hr lunch. Not only are you expected to be “logged in” during this time but IF you remain on your call with your merchant (customers) past your scheduled break and lunch time , it counts against your “compliance” and will be marked against a final daily scoring of your time, which all factors into a low (if possible) increase annually. The management are extremely robotic, cold personalities with little to no interpersonal skills. When you voice your concerns, of course you are labeled a negative detractor. Because of the location in an economically challenged area of Western Maryland, the company  uses this reality to bully their employees.""",2.0
"""Geico started off as the best job ever. Licensing is hard but it felt good to push yourself to new limits and learn so much information. It wasn't until training started that you realize what a mistake it was to take this job. During training, they teach you how to speak, what to say, how to answer, and where to find about 40% of the answers to questions you will actually get while on the phones. Then, after 6 weeks, you hit the phones. You are taught to be a robot. Someone who eats, sleeps and breathes only if and when Geico tells you to. You don't even get a day off or a sick day until 6 months on the job. Any day, or minute you are not at work counts against you. They have changed the dependability policy recently but now you must use your 30 minutes of breaks allowed in your 8.5 hour day to go to the bathroom. So once your 30 minutes are up... you are stuck attached to the phones for the rest of your shift. Being someone who already dealt with anxiety, I was forced to leave my job in order to save my own life. I would walk in feeling great about myself and my job, only to be knocked down for not answering the phone the correct way or for leaving someone on hold for 10 seconds longer than allotted. This job is suffocating, micromanaged, depressing, and unbelievably toxic. I wouldn't recommend this job to my worst enemy... UNLESS you are hired on the outside as upper management. Management is the only position at Geico that gets any respect. 0/10 recommended to anyone else.""",2.0
"""I've worked there since 2019. Coworkers are great, management is poor. salary is less than desirable, work conditions are less than stellar, some supervisors are great and some sit around and play on their phones. Overall it's a job, not a career.""",2.0
"""If you want to work for a company that makes sure all of the people managers are two-face back stabbing asses then you should work at eBay. 
Never in my life have I worked in a place that treated its employees so poorly. What a joke.
LIES, LIES AND MORE LIES.
Lies about promotions and career advancement opportunities? YES.
Lies about bonuses ? YES.
LIES TO YOUR FACE ABOUT EVERYTHING? YES, YES, YES.
WORST 2 YEARS OF MY LIFE.""",2.0
"""The management has their own core team and in-crowd that takes care of and has no interest in development of other employees. I don't recommend the IT security department for anyone to work in if they have a choice.""",2.0
"""First off, you need to be fully aware that this is unstable job. Starting from day one, team leads and managers will be too nice to you. Couple weeks or so, things will be way too different, expect unfair treatment, you will be threatened to be terminated every once in a while. You will be treated as a tool they own and use however and whenever they want. Expect to be working weekends, and night shift, you are just a tool to them. They don’t care if you do 99% good job, they will only focus on the 1% that you missed and punch you for it.
Only team leaders and their “close friends” can do whatever they want, totally unfair treatment should be expected. team leaders and their “close friends” go out to smoke, and you are expected to stay and take calls for hours, the moment you go to the bathroom, they will start looking for you. If the team leaders know that you complained to a manager, they will be harder on you, be careful about this TLS will take it serious.

At least 7 people out of 15 will quit while in training, I guess that is enough indication, and people will start looking and applying for jobs from day one. This job was absolutely the worst ever in my experience.""",1.0
"""The salary was appropriate based on my professional experience and prior salary.""",1.0
"""Their complete disregard for employee morale, an issue exacerbated by their divisive stance on race and unaddressed concerns about workplace crime, is a major problem. This approach has also trickled down to the supervisors, who are given little guidance and support, resulting in a terrible work environment. The CEO's attitude is one of arrogance and indifference, and it's no wonder that customer satisfaction is abysmal. Their inability to address critical issues like workplace crime, as well as their dismissive attitude towards race-related concerns, has severely affected customer satisfaction. This is a warning!""",1.0
"""Never have the proper tools to complete job, no communication between home office, management and employees. Bad pay. Little chance to move up. Management never at work or lazy.  Company never shows appreciation for its employees. Really cheap company. Best part is getting paid weekly and co workers.""",2.0
"""Extremely demanding and toxic work environment. The morale is at an all-time low since the company is closing stores left and right. The only good thing about this job is helping people with their health needs. This company can not keep employees on staff whatsoever. Managers and associates quit after they see the destruction that is this company.""",2.0
"""Worst company I have ever worked for. They cut corners and break promises regularly. Benefits program is a joke. Openly talk politics regardless of any objections. Do yourself a favor and only take a position as a last resort or stepping stone if desperate.""",2.0
"""Company just got bought by ECMC. Already seeing positive changes. Used to be owned by Corinthian Colleges, not a good company.""",2.0
"""I worked for Flextronics on one project for just under two years.  They are known for sweeping hiring and sweeping firing.  This is a well deserved reputation.  They are a results-driven company with an eye on profits but little regard for their employees.  I would not do business with them because their word cannot be trusted.""",2.0
"""I was laid off due to the pandemic and sought a position at Goodwill as a processor to supplement income. I also have 10+ years experience in volunteering with non-profits and was excited to work in a business that cares about the community... My experience working at Goodwill was traumatic. I was appalled at the way employees are treated. Profit was more important than people or customer service. It was a joke among employees that if you got fired (we were constantly threatened by managers in this way) or quit, you could just join the Goodwill jobs program and get a better job somewhere else.

Some of the things I witnessed:

- Managers making yelling at, calling names and encouraging gossip and bullying employees with disabilities. Often employees were yelled at or criticized for reasons related to their disability. There was very little support or understanding.
- Quality items thrown in the trash at request of manager because Goodwill needed to make more money. We were instructed to go through bins quickly and take out specific items that would generate profit in the online auction. Everything else thrown in trash. I begged manager to save an antique glass washboard, refused.
- Managers routinely intimidate and bully employees. Hours are cut if you complain or create problems. Threats of being fired common. Threats of being fired used to scare workers into working faster, beyond what is normal, so store can make money.
- Little or no work incentives. It was more common to get a pay cut than a pay raise. Senior employees not recognized or rewarded.
- I was trained to do my job a specific way. It was common for manager to change the tasks of my job or do something different even if it made the job more inefficient or compromised the customer experience. You never knew what to expect. You didn't ask questions bc you'd be yelled at or threatened to be fired.
- Stresseful and unsafe conditions for donation attendants.
- Low pay.
- Managers not responsive to feedback.""",1.5
"""Prefer not to comment on unethical terminations and unethical hiring practices in addition to inexperienced management who has no regard for their own employees. I am working on the LogCap side of the company overseas and the mentality here is what happens on project stays on project and leadership has instilled fear of retaliation to the employees that do not go with the flow or play along.""",2.0
"""Booz Allen boosts themselves to be above the rest and to be part of an elite group of consultants, but the real fact is far from that. Management is distant from employees, company values change too often, company looks only at the bottom line and forgets about the people that bring in that revenue, poor advancement opportunities, salary competitiveness is below average due to the high costs of overhead and expected company profit, and the list can go on and on. 

Leadership, at least at the Quantico area location, is immature and lacks a lot of the basic leadership skills needed to be an effective and powerful leader. Management changes in this area quite often giving the impression that no one wants to be on this team long. If you are planning on joining the Booz Allen team, be aware that you must negotiate your best possible deal up front as when you get in you are pretty much locked in to a bleak future. Another interesting fact, the turn over rate here at the Quantico team is very high. Not only myself, but 6 to 7 other team members have left the firm and never looked back. This alone gives solid testament that something just isn't right here. Just be warned is all I have to say. 

* Advice to Management - Increase leadership skills, look to help employees further their career and help them advance, stay connected and not distant, stop changing core values and company slogans just to be changing them and stick with one and solidify it. Make Booz Allen worthwhile to work for not just for today but for a career long choice. Don't treat certain teams in one manner and others in a different manner due to their location. Stop the double standard rules with employees with more years versus those with little years. We all wear the same badge so it is imperative that leadership ensures that all practices, values, rules and regulations are followed across the board completely.""",1.5
"""You have the tools on place to make Aramark an amazing place to work, use them.""",2.0
"""Company just got bought by ECMC. Already seeing positive changes. Used to be owned by Corinthian Colleges, not a good company.""",2.0
"""Leadership leads from the front and not from the back. We are forced to do more work than what we are paid to do. We have to work overtime to get the job done. There is ZERO recognition when a job is done well and when the demanding deadlines ARE met. There are ZERO training materials you've just gotta google and hope for the best a lot of the time. There is no structure. management expects you to answer your phone on weekends that you are off and not on call and they expect you to answer thier calls when you are off work. When I shared my Happy Black History month post that was on the company website a white manager said this was off base and inappropriate to put in the team chat although it was copied and pasted from the GC website. This company over all has been the worst company I've ever worked for full transparency. If you aren't in the good ole boys club here at GC good luck.""",2.0
"""I would never work for GNC ever again.""",2.0
"""They herd you in and out like cattle. There is a lack of training and yet they expect you to know and understand your job.""",1.0
"""I have worked for First National Bank for a short amount of time, 6 months.  I have found challenges to have a productive professional relationship with the Market Manager.""",1.0
"""Great place to work, but poor upper management.""",2.0
"""Worked there over 10 years. No room for advancement. Puts out their own magazine touting they are the best people on the block. They don't tell that many employees have 2 or more jobs. Pay stinks if you are not salaries. Inclement weather has to go to work if hourly. Back-stabbing co-workers who will make you quit or be fired. Doesn't reimburse in a timely manner. Benefits are good if you are single and without kids. Year end evaluations are a joke. Worked well into the night(2 am). Logistics is dysfunctional. Prioritize few clients over others. Managers are more concerned about their about well-being than you. Leave of absence is only granted after you use all your vacation, sick and personal days. No wireless. Network speeds are slow, and IT yells at you if you download anything over 17MB. How are we supposed to download the latest firmware? Managers have their favorites and seniority rules. Work 40 hours and pay for 37.5(2.5 hours was your unpaid lunch). Smokers ruined all the landscaping. Sales has the highest priority. They tout that they are losing money, but they have profit sharing by inputting 1% into your 401k. Managers are more concerned about garbage and recycling, which is a lie. They are so worried about part costs that they rather you spend 4 hours replacing a roller than 20 minute assembly. They tout cleanliness in their work areas, but that is a lie. Hernias are the norm. Any sign of weakness or if you need help or if you need more training is mark against you. Male-dominated culture in many departments with turf wars between bitter old men who dislikes everyone and everything.""",1.5
"""This company in the USA, abuses its employees. As a supervisor I cried everyday because even though I was one of the best employees, the company always found I did something wrong, calls were monitored by inexperienced managers who do not know how to treat people with respect and dignity. All of my co workers I started with left upset, crying, hating this place and under psychiatric care. I felt my blood boiling with anger and sadness everyday while working at this call center. The company acted as though we were robots, not allowed restroom time, no flexibility in scheduling, I was there over 10 years and still worked weekends. Pay is low and the work load is high, everyday you are told you can get replaced and they don't need you so you must do everything perfect or you get yelled at threatened to be fired. Customers are allowed to call you names, yell and speak to you in abusive language, and managers back them 100%. You are not allowed to hang up for any reason. This place made me dislike banking and customer service. I wish I could take the time back but it was as though I was in an abusive relationship I could not leave. I needed the job but no one should have to suffer the way Citi employees do. It's not humane. I have now found a job that treats me with respect and appreciates everything I do and I love it. I do not wish Citi to anyone, even my worst enemy.""",1.0
"""There is no table pounding or in-your-face management. The pay is okay.""",2.0
"""Bad business and management. Worst I have ever seen. As far as GE goes, it is not a technically strong company anymore. Cutting employee benefit, and cuts corners to survive.""",1.0
"""Worst company I have ever worked for. They cut corners and break promises regularly. Benefits program is a joke. Openly talk politics regardless of any objections. Do yourself a favor and only take a position as a last resort or stepping stone if desperate.""",2.0
"""I really don't like anything about working here. No upward mobility.""",2.0
"""I would never work for GNC ever again.""",2.0
"""It was one of the best learning experiences any could hope for.""",2.0
"""On my first day here, the manager told me I was going to be the only one working for my training. I had to stock, rotate stock, run cash, and keep the store clean. She got to sit in the backroom and play on her phone. At one point I had a long queue and asked for help. She said she wasn't allowed to help me. I got complaints against me for not being fast enough.""",1.0
"""BASF is a good company with great benefits. However, the location I work at is very small and run by the good ole boy club. This prevents new people from advancing or bringing new ideas in. There is no upward mobility unless you are a high school buddy or family.""",2.0
